event_id,state,change_type,effective_date,first_affected_fy,old_fips,old_name,new_fips,new_name,predecessor_fips,successor_fips,note,source
FL_1997_miamidade,FL,rename_fips_change,1997-07-22,1997,12025,Dade County,12086,Miami-Dade County,12025,12086,Renamed with new FIPS code; same territory.,census_county_changes_1990s
MT_1997_yellowstone,MT,dissolved,1997-11-07,1998,30113,Yellowstone National Park (county equivalent),,,30113,30031;30067,Deleted as a county equivalent; territory annexed to Gallatin (30031) and Park (30067) counties.,census_county_changes_1990s
CO_2001_broomfield,CO,new_county,2001-11-15,2002,,,08014,Broomfield County,08001;08013;08059;08123,08014,Created from parts of Adams (08001) Boulder (08013) Jefferson (08059) and Weld (08123) counties.,census_county_changes_2000s
VA_2001_cliftonforge,VA,dissolved,2001-07-01,2001,51560,Clifton Forge city (independent),,,51560,51005,Independent city reverted to town status; added to Alleghany County (51005).,census_county_changes_2000s
AK_2007_skagway_split,AK,split,2007-06-20,2007,02232,Skagway-Hoonah-Angoon Census Area,02230;02105,Skagway Municipality;Hoonah-Angoon Census Area,02232,02230;02105,Split into Skagway Municipality (02230) and Hoonah-Angoon Census Area (02105).,census_county_changes_2000s
AK_2008_wrangell_split,AK,split,2008-06-01,2008,02280,Wrangell-Petersburg Census Area,02275;02195,Wrangell City and Borough;Petersburg Census Area,02280,02275;02195,Split into Wrangell City and Borough (02275; also took Meyers Chuck area from 02201) and Petersburg Census Area (02195).,census_county_changes_2000s
AK_2008_pow_rename,AK,rename_boundary,2008-05-19,2008,02201,Prince of Wales-Outer Ketchikan Census Area,02198,Prince of Wales-Hyder Census Area,02201,02198;02130;02275,Outer Ketchikan area annexed by Ketchikan Gateway Borough (02130); Meyers Chuck area to Wrangell City and Borough (02275); remainder renamed with new code 02198.,census_county_changes_2000s
AK_2013_petersburg,AK,status_boundary,2013-01-03,2013,02195,Petersburg Census Area,02195,Petersburg Borough,02195;02105,02195;02198,Borough organized keeping code 02195; part of former census area went to Prince of Wales-Hyder (02198); took part of Hoonah-Angoon (02105).,census_county_changes_2010s
VA_2013_bedford,VA,dissolved,2013-07-01,2013,51515,Bedford city (independent),,,51515,51019,Independent city reverted to town status; merged into Bedford County (51019).,census_county_changes_2010s
SD_2015_oglala,SD,rename_fips_change,2015-05-01,2015,46113,Shannon County,46102,Oglala Lakota County,46113,46102,Renamed with new FIPS code; same territory.,census_county_changes_2010s
AK_2015_kusilvak,AK,rename_fips_change,2015-07-01,2015,02270,Wade Hampton Census Area,02158,Kusilvak Census Area,02270,02158,Renamed with new FIPS code; same territory.,census_county_changes_2010s
AK_2019_valdez_split,AK,split,2019-01-02,2019,02261,Valdez-Cordova Census Area,02063;02066,Chugach Census Area;Copper River Census Area,02261,02063;02066,Split into Chugach (02063) and Copper River (02066) census areas. Pre-split adjacency = union of the successors' neighbor sets.,census_county_changes_2010s
CT_2022_planning_regions,CT,county_equiv_redefinition,2022-06-06,2022,09001;09003;09005;09007;09009;09011;09013;09015,Fairfield County;Hartford County;Litchfield County;Middlesex County;New Haven County;New London County;Tolland County;Windham County,09110;09120;09130;09140;09150;09160;09170;09180;09190,Capitol Planning Region;Greater Bridgeport Planning Region;Lower Connecticut River Valley Planning Region;Naugatuck Valley Planning Region;Northeastern Connecticut Planning Region;Northwest Hills Planning Region;South Central Connecticut Planning Region;Southeastern Connecticut Planning Region;Western Connecticut Planning Region,09001;09003;09005;09007;09009;09011;09013;09015,09110;09120;09130;09140;09150;09160;09170;09180;09190,Wholesale replacement of 8 counties by 9 planning regions (COGs); regions do NOT nest within the old counties; Census data products switched over 2023-2024; waiver documents may use counties through ~FY2023.,census_county_changes_2020s + 87 FR 34235 (2022-06-06)
